,p,i,q,P,D,Q,score
507,2,0,0,2,1,2,0.9437178866782405
157,0,1,2,2,1,2,0.9437156534610205
497,2,0,0,1,1,1,0.9437073176726796
489,2,0,0,0,1,2,0.9436354820366324
498,2,0,0,1,1,2,0.9436244692028789
504,2,0,0,2,0,2,0.9435355072230001
330,1,1,0,0,2,2,0.9434470641213886
279,1,0,1,1,0,2,0.9434273497504189
506,2,0,0,2,1,1,0.9433812716841387
471,1,2,2,1,1,2,0.9431475449388038
156,0,1,2,2,1,1,0.9430502230294702
468,1,2,2,1,0,2,0.9429377967482975
339,1,1,0,1,2,2,0.9428161790992453
348,1,1,0,2,2,2,0.9427885710846559
455,1,2,1,2,2,1,0.9427011295608956
316,1,0,2,2,1,0,0.9426627229680613
712,2,2,2,2,0,2,0.9426604804975651
558,2,0,2,2,1,0,0.9426577430636103
532,2,0,1,2,1,0,0.9426219929164206
637,2,1,2,2,1,0,0.9424997729333596
461,1,2,2,0,1,1,0.9424495497811998
289,1,0,1,2,1,0,0.9424492722066384
272,1,0,1,0,1,1,0.9422992256670821
198,0,2,1,1,0,1,0.942273535677899
462,1,2,2,0,1,2,0.9419359097130644
278,1,0,1,1,0,1,0.941891141145372
505,2,0,0,2,1,0,0.9417236031624528
262,1,0,0,2,1,0,0.9415324994128169
75,0,0,2,2,1,0,0.9415018595664851
48,0,0,1,2,1,0,0.9414526660028049
21,0,0,0,2,1,0,0.9413160163812127
139,0,1,2,0,1,1,0.9411851445151364
541,2,0,2,0,1,0,0.9407581839313486
715,2,2,2,2,1,2,0.9406658415307968
699,2,2,2,0,1,1,0.9404150502362406
291,1,0,1,2,1,2,0.9403926449661169
281,1,0,1,1,1,1,0.940341289203216
282,1,0,1,1,1,2,0.9403192054669065
273,1,0,1,0,1,2,0.940296863303561
290,1,0,1,2,1,1,0.9402689339701862
584,2,1,0,2,0,2,0.9398910048467316
568,2,1,0,0,1,1,0.9398313807134483
193,0,2,1,0,1,2,0.9394770646372429
201,0,2,1,1,1,1,0.9394716920841084
209,0,2,1,2,1,1,0.9392951922870498
210,0,2,1,2,1,2,0.9392862917708373
192,0,2,1,0,1,1,0.9392383450258485
438,1,2,1,0,2,2,0.9392021461766613
225,0,2,2,1,0,2,0.9391880077119099
545,2,0,2,0,2,1,0.9391853841650981
202,0,2,1,1,1,2,0.9389677291654916
91,0,1,0,1,0,1,0.938910280903737
112,0,1,1,0,1,1,0.938806319553739
92,0,1,0,1,0,2,0.9388051844475922
121,0,1,1,1,1,1,0.9387985680504826
113,0,1,1,0,1,2,0.9387586566531265
100,0,1,0,2,0,1,0.9387521546849615
586,2,1,0,2,1,1,0.9386649564807308
122,0,1,1,1,1,2,0.9386539836611179
397,1,1,2,2,1,0,0.938653196740517
447,1,2,1,1,2,2,0.9386487216725197
587,2,1,0,2,1,2,0.9385898893121126
393,1,1,2,1,2,2,0.9385763323917444
578,2,1,0,1,1,2,0.9385691078085235
574,2,1,0,1,0,1,0.9385686380361653
200,0,2,1,1,1,0,0.9385611332894562
101,0,1,0,2,0,2,0.9384924690729843
569,2,1,0,0,1,2,0.938487357040302
125,0,1,1,1,2,2,0.9384860883101275
577,2,1,0,1,1,1,0.9384338662567522
130,0,1,1,2,1,1,0.9384297496859771
97,0,1,0,1,2,1,0.9383514311716908
131,0,1,1,2,1,2,0.9383292679143367
134,0,1,1,2,2,2,0.9382110566652453
456,1,2,1,2,2,2,0.9381384200795755
320,1,0,2,2,2,1,0.9380530897980577
562,2,0,2,2,2,1,0.9380162095430019
128,0,1,1,2,0,2,0.9380082277293166
536,2,0,1,2,2,1,0.9379816964710262
207,0,2,1,2,0,1,0.9379013466772629
575,2,1,0,1,0,2,0.9378867381154262
583,2,1,0,2,0,1,0.9377700418473879
293,1,0,1,2,2,1,0.9377322892736003
611,2,1,1,2,1,0,0.9376769933987625
480,1,2,2,2,1,2,0.9376765643587308
680,2,2,1,1,0,1,0.9376484445220438
636,2,1,2,2,0,1,0.9375669663661567
116,0,1,1,0,2,2,0.9375274142965413
384,1,1,2,0,2,2,0.9374852973502286
370,1,1,1,2,1,0,0.9374141810223767
237,0,2,2,2,1,2,0.9374074318074598
227,0,2,2,1,1,1,0.9373526784418273
228,0,2,2,1,1,2,0.9373065901153599
155,0,1,2,2,1,0,0.937299733766416
219,0,2,2,0,1,2,0.9372769416126228
550,2,0,2,1,1,0,0.9372430138301264
681,2,2,1,1,0,2,0.937238182342111
674,2,2,1,0,1,1,0.9371664444738079
218,0,2,2,0,1,1,0.9371531040428256
713,2,2,2,2,1,0,0.9370504777837481
509,2,0,0,2,2,1,0.9368266713590585
266,1,0,0,2,2,1,0.9366079601611672
236,0,2,2,2,1,1,0.936562366350105
79,0,0,2,2,2,1,0.9365454588341146
52,0,0,1,2,2,1,0.9364968552896
495,2,0,0,1,0,2,0.9364934593779212
467,1,2,2,1,0,1,0.9364555194992159
86,0,1,0,0,1,2,0.9362462893712076
94,0,1,0,1,1,1,0.9362415423737129
627,2,1,2,1,0,1,0.9362346429654798
103,0,1,0,2,1,1,0.9362339682404699
25,0,0,0,2,2,1,0.9361814368063642
641,2,1,2,2,2,1,0.9361515023335084
85,0,1,0,0,1,1,0.9361449702971839
104,0,1,0,2,1,2,0.9360666672382494
95,0,1,0,1,1,2,0.9358919316838527
479,1,2,2,2,1,1,0.9356326439214172
690,2,2,1,2,1,1,0.935594171168798
628,2,1,2,1,0,2,0.9355931493143825
93,0,1,0,1,1,0,0.9354153281780566
684,2,2,1,1,1,2,0.935400877617171
240,0,2,2,2,2,2,0.9353575515447552
691,2,2,1,2,1,2,0.9353029087936482
675,2,2,1,0,1,2,0.9352886210861844
683,2,2,1,1,1,1,0.9351782419839597
470,1,2,2,1,1,1,0.9339195000833362
707,2,2,2,1,1,1,0.9333279068316712
222,0,2,2,0,2,2,0.9331807136233689
45,0,0,1,2,0,0,0.9330726042563278
259,1,0,0,2,0,0,0.9329940753907264
286,1,0,1,2,0,0,0.9329909952409514
529,2,0,1,2,0,0,0.9329751642159823
313,1,0,2,2,0,0,0.9329694240061328
72,0,0,2,2,0,0,0.9329332903998456
18,0,0,0,2,0,0,0.9329125628516414
502,2,0,0,2,0,0,0.9326972809801434
572,2,1,0,0,2,2,0.9321289786725349
280,1,0,1,1,1,0,0.9317792924326327
523,2,0,1,1,1,0,0.931768234491144
307,1,0,2,1,1,0,0.9317640022135858
556,2,0,2,2,0,0,0.9314841760366704
585,2,1,0,2,1,0,0.9313562784787188
478,1,2,2,2,1,0,0.9313190962032851
629,2,1,2,1,1,0,0.9312577265432986
615,2,1,1,2,2,1,0.9310941819077669
401,1,1,2,2,2,1,0.9309829816341801
231,0,2,2,1,2,2,0.9309059058016577
496,2,0,0,1,1,0,0.9306713522895007
374,1,1,1,2,2,1,0.9306696640267103
159,0,1,2,2,2,1,0.9305318693800405
66,0,0,2,1,1,0,0.9301744754398347
253,1,0,0,1,1,0,0.9301575904688106
388,1,1,2,1,1,0,0.9301494881423177
39,0,0,1,1,1,0,0.9299788587925709
590,2,1,0,2,2,2,0.9299356075484121
12,0,0,0,1,1,0,0.9298179533033316
581,2,1,0,1,2,2,0.9298127749473056
678,2,2,1,0,2,2,0.9287652893175342
689,2,2,1,2,1,0,0.9283292067159146
476,1,2,2,2,0,1,0.9277765966310074
717,2,2,2,2,2,1,0.9272871020292437
589,2,1,0,2,2,1,0.9268531160856661
392,1,1,2,1,2,1,0.9267609283223069
603,2,1,1,1,1,0,0.9265225334574956
226,0,2,2,1,1,0,0.9264353824664663
284,1,0,1,1,2,1,0.9261266668792809
527,2,0,1,1,2,1,0.9261108726284127
311,1,0,2,1,2,1,0.9261063372500153
633,2,1,2,1,2,1,0.9260799609947594
361,1,1,1,1,1,0,0.9258689466664145
235,0,2,2,2,1,0,0.9257083061944037
703,2,2,2,0,2,2,0.9256733235423993
687,2,2,1,1,2,2,0.9256378531917637
147,0,1,2,1,1,0,0.9256289676064144
554,2,0,2,1,2,1,0.9255114674770276
500,2,0,0,1,2,1,0.9248312878351285
474,1,2,2,1,2,2,0.924753510048027
475,1,2,2,2,0,0,0.9246219133035206
694,2,2,1,2,2,2,0.9243755759989654
133,0,1,1,2,2,1,0.9243553926946935
257,1,0,0,1,2,1,0.924250740210738
70,0,0,2,1,2,1,0.924245771996704
43,0,0,1,1,2,1,0.9240192458561656
16,0,0,0,1,2,1,0.9236438622051752
469,1,2,2,1,1,0,0.9234886369584792
234,0,2,2,2,0,2,0.9232102462464273
465,1,2,2,0,2,2,0.9230013847504972
124,0,1,1,1,2,1,0.9229529525991892
84,0,1,0,0,1,0,0.9226996914768102
271,1,0,1,0,1,0,0.9224252686555409
514,2,0,1,0,1,0,0.9224231945715533
298,1,0,2,0,1,0,0.9224170641586946
129,0,1,1,2,1,0,0.9222511601677645
195,0,2,1,0,2,1,0.9221488502154596
107,0,1,0,2,2,2,0.9220646513143089
232,0,2,2,2,0,0,0.9217607096036026
89,0,1,0,0,2,2,0.9214489863692789
607,2,1,1,1,2,1,0.9210882304266151
718,2,2,2,2,2,2,0.9209814643665637
120,0,1,1,1,1,0,0.9208014955090756
487,2,0,0,0,1,0,0.920570553556455
153,0,1,2,2,0,0,0.9204295314795686
365,1,1,1,1,2,1,0.9202619800288292
57,0,0,2,0,1,0,0.9200970179461814
151,0,1,2,1,2,1,0.9200052282852987
244,1,0,0,0,1,0,0.9198246224516737
3,0,0,0,0,1,0,0.9198011235845096
693,2,2,1,2,2,1,0.9197398536422006
30,0,0,1,0,1,0,0.919678844336325
98,0,1,0,1,2,2,0.919622125960358
191,0,2,1,0,1,0,0.9194387040524197
367,1,1,1,2,0,0,0.9192551737804046
620,2,1,2,0,1,0,0.9192204628152949
635,2,1,2,2,0,0,0.9191522045088986
394,1,1,2,2,0,0,0.9188603015985203
230,0,2,2,1,2,1,0.9188087820965275
609,2,1,1,2,0,0,0.9186471852702456
379,1,1,2,0,1,0,0.9185880620116413
204,0,2,1,1,2,1,0.9184106126609294
239,0,2,2,2,2,1,0.9169418701696928
275,1,0,1,0,2,1,0.9165094382582342
594,2,1,1,0,1,0,0.9164879833236677
518,2,0,1,0,2,1,0.9164863687444929
302,1,0,2,0,2,1,0.9164714153672348
483,1,2,2,2,2,2,0.9164073696252709
547,2,0,2,1,0,0,0.9163561467265573
9,0,0,0,1,0,0,0.9162835591956532
